iter	RMSE
0	0.2772236366
1	0.2730852753
2	0.2694604259
3	0.2662361964
4	0.263299226
5	0.2608070998
6	0.2584316442
7	0.2563912882
8	0.2545314486
9	0.2528432031
10	0.2512947183
11	0.2499618922
12	0.2487481573
13	0.2475741892
14	0.246630546
15	0.2457964238
16	0.244970913
17	0.2442488551
18	0.2436052069
19	0.2429777909
20	0.2424797203
21	0.2419905721
22	0.2415447614
23	0.2411740833
24	0.2408365674
25	0.2405101987
26	0.2402167405
27	0.2399751311
28	0.2397631999
29	0.239535964
30	0.2393644926
31	0.2392045114
32	0.2390536759
33	0.2388683692
34	0.2387384199
35	0.2386099106
36	0.238471427
37	0.2383645615
38	0.2382459938
39	0.2381344998
40	0.2380527998
41	0.2379649123
42	0.237874293
43	0.2377624973
44	0.237683943
45	0.2375870687
46	0.2375039529
47	0.2374297002
48	0.2373555387
49	0.237280387
50	0.2372161036
51	0.2371570518
52	0.2370859374
53	0.2370185727
54	0.2369609671
55	0.2369097422
56	0.236862948
57	0.2367937501
58	0.2367333747
59	0.2366627358
60	0.2366095062
61	0.236554412
62	0.2365082537
63	0.2364617661
64	0.2364013589
65	0.2363627934
66	0.2363342824
67	0.2362823335
68	0.2362278186
69	0.2361777581
70	0.2361492513
71	0.2361126348
72	0.236071025
73	0.2360415737
74	0.2359620108
75	0.2359187069
76	0.2358919474
77	0.2358560683
78	0.2358188345
79	0.2357655329
80	0.2357217338
81	0.2356895713
82	0.2356382335
83	0.2356035653
84	0.2355436355
85	0.2355094047
86	0.2354696498
87	0.2354212662
88	0.2353910457
89	0.2353650616
90	0.2353362411
91	0.235312901
92	0.2352935251
93	0.2352479821
94	0.2352067865
95	0.2351722431
96	0.2351344671
97	0.2351022399
98	0.2350659771
99	0.23502784
100	0.2349904501
101	0.2349399305
102	0.2349066438
103	0.2348565416
104	0.2348296529
105	0.2347880344
106	0.2347533188
107	0.2347294171
108	0.2347224286
109	0.2346847795
110	0.2346316734
111	0.2345631152
112	0.2345342411
113	0.2345144595
114	0.2344750896
115	0.2344374543
116	0.2344214168
117	0.2343841983
118	0.2343508365
119	0.2343247797
120	0.2342931488
121	0.2342692236
122	0.2342235442
123	0.2342009893
124	0.2341772909
125	0.2341580801
126	0.2341126152
127	0.2340809868
128	0.2340374096
129	0.2339817391
130	0.2339590603
131	0.2339226856
132	0.2338838645
133	0.2338336326
134	0.2337866669
135	0.2337479902
136	0.233707489
137	0.2336757368
138	0.2336372982
139	0.233613865
140	0.2335683686
141	0.2335445523
142	0.2335251941
143	0.2334842809
144	0.2334545983
145	0.2334179839
146	0.2333622578
147	0.2333282415
148	0.2332837234
149	0.2332416931
150	0.2332159359
151	0.2331704389
152	0.2331451081
153	0.2331168992
154	0.233088108
155	0.2330488838
156	0.2330075903
157	0.2329598611
158	0.2329404091
159	0.2329209997
160	0.2328860415
161	0.2328189033
162	0.2327812934
163	0.2327337736
164	0.2327001926
165	0.2326834482
166	0.2326342161
167	0.2326059491
168	0.2325424188
169	0.2325222161
170	0.2324693124
171	0.2324431866
172	0.2323987294
173	0.2323556732
174	0.2323344635
175	0.2323049438
176	0.2322625212
177	0.2322083405
178	0.2321519841
179	0.2320926228
180	0.2320567362
181	0.2319873352
182	0.2319560373
183	0.2319212112
184	0.2319013178
185	0.2318534989
186	0.2318097085
187	0.231750958
188	0.2317178829
189	0.2316758026
190	0.2316402845
191	0.2316064842
192	0.2315700047
193	0.231512576
194	0.2314634728
195	0.2314308634
196	0.2313828533
197	0.2313373141
198	0.2313101863
199	0.231255419
200	0.2312154237
201	0.2311691733
202	0.2311335152
203	0.2310915666
204	0.2310613556
205	0.231033356
206	0.2309747495
207	0.2309444613
208	0.2309016497
209	0.2308343841
210	0.2307899075
211	0.2307389041
212	0.2307075119
213	0.2306593745
214	0.2306281528
215	0.2305755982
216	0.2305162796
217	0.2304827014
218	0.2304432535
219	0.2304030772
220	0.2303707272
221	0.2303401992
222	0.2302997482
223	0.2302710437
224	0.2302084748
225	0.230152585
226	0.2301199357
227	0.2300801039
228	0.2300354363
229	0.2300014323
230	0.2299567221
231	0.229902598
232	0.2298546086
233	0.229802576
234	0.229759428
235	0.2297163883
236	0.2296621476
237	0.2296199302
238	0.2295641979
239	0.2295412289
240	0.2294935311
241	0.2294670304
242	0.2294386436
243	0.2294079613
244	0.2293575494
245	0.2293148964
246	0.2292880051
247	0.229255049
248	0.2292193218
249	0.2291814716
250	0.2291414842
251	0.2290930673
252	0.2290501991
253	0.2290158208
254	0.228975741
255	0.2289395711
256	0.2288886965
257	0.2288404866
258	0.2288210751
259	0.2287700708
260	0.228751922
261	0.2287115012
262	0.2286798842
263	0.2286591186
264	0.2286050552
265	0.2285767152
266	0.2285469275
267	0.2285149218
268	0.228466569
269	0.2284306987
270	0.2283818241
271	0.2283364398
272	0.2283121258
273	0.228252288
274	0.2282169698
275	0.228195625
276	0.2281445423
277	0.2281118148
278	0.2280808107
279	0.2280529688
280	0.2280062716
281	0.2279696063
282	0.2279437161
283	0.227903399
284	0.2278692313
285	0.2278231471
286	0.2277877326
287	0.2277669678
288	0.2277364596
289	0.2276952008
290	0.2276813006
291	0.2276281741
292	0.2276021768
293	0.2275594658
294	0.2275075993
295	0.2274608354
296	0.2274132513
297	0.2273644525
298	0.2273235224
299	0.2272894047
300	0.2272337558
301	0.2272053236
302	0.2271569332
303	0.2271066716
304	0.2270465707
305	0.2270050291
306	0.2269625472
307	0.2269417268
308	0.2269120142
309	0.2268530159
310	0.2268101878
311	0.2267675941
312	0.2267203308
313	0.2266863651
314	0.2266466907
315	0.2266162724
316	0.226572525
317	0.2265322375
318	0.2264753563
319	0.2264265885
320	0.2263902088
321	0.2263570788
322	0.2263006674
323	0.2262720653
324	0.2262493193
325	0.2262151881
326	0.2261813133
327	0.2261360383
328	0.2261086534
329	0.2260469193
330	0.2260114984
331	0.2259763515
332	0.225953478
333	0.2259024685
334	0.2258700225
335	0.2258337938
336	0.2258003557
337	0.2257608253
338	0.2257275669
339	0.225699489
340	0.2256706266
341	0.225634621
342	0.2256043799
343	0.2255725632
344	0.2255499582
345	0.2255203252
346	0.2254880793
347	0.2254597114
348	0.2254095248
349	0.2253857762
350	0.2253503636
351	0.2253197055
352	0.2252744693
353	0.2252458042
354	0.2252034054
355	0.2251698521
356	0.2251358913
357	0.2251039612
358	0.2250788767
359	0.2250401833
360	0.2249994849
361	0.2249698441
362	0.2249481637
363	0.224914882
364	0.2248734823
365	0.2248353935
366	0.224786059
367	0.2247554443
368	0.2247200437
369	0.2246938439
370	0.2246325452
371	0.2246160825
372	0.2245784606
373	0.2245564387
374	0.2245205755
375	0.224489287
376	0.2244690747
377	0.2244204037
378	0.2243809301
379	0.2243533152
380	0.2243258194
381	0.2242905496
382	0.2242487626
383	0.2241982217
384	0.224171448
385	0.2241265577
386	0.2240932605
387	0.2240610943
388	0.2240343384
389	0.2240089205
390	0.223975167
391	0.2239353036
392	0.2238849861
393	0.2238381469
394	0.2237995875
395	0.2237815022
396	0.2237481864
397	0.2236953341
