iter	Passed	Remaining
0	147	147154
1	152	75934
2	158	52541
3	164	40903
4	170	33944
5	176	29249
6	182	25885
7	188	23377
8	194	21385
9	200	19845
10	206	18543
11	212	17475
12	218	16592
13	224	15824
14	230	15124
15	237	14575
16	242	14021
17	248	13548
18	254	13136
19	259	12724
20	265	12370
21	271	12076
22	277	11800
23	284	11570
24	290	11315
25	295	11064
26	301	10870
27	307	10668
28	313	10490
29	319	10326
30	325	10179
31	331	10033
32	336	9874
33	342	9733
34	348	9613
35	354	9492
36	360	9376
37	365	9260
38	372	9169
39	377	9070
40	384	8995
41	394	8997
42	400	8918
43	406	8834
44	411	8736
45	417	8661
46	423	8582
47	428	8496
48	434	8424
49	440	8365
50	445	8281
51	450	8210
52	455	8147
53	461	8080
54	466	8013
55	472	7966
56	478	7916
57	485	7887
58	491	7832
59	496	7778
60	502	7737
61	508	7685
62	512	7628
63	518	7583
64	524	7546
65	529	7493
66	535	7452
67	540	7412
68	546	7367
69	552	7334
70	557	7298
71	563	7261
72	568	7216
73	574	7183
74	579	7152
75	585	7118
76	590	7077
77	596	7053
78	601	7014
79	606	6971
80	611	6942
81	617	6907
82	621	6869
83	627	6842
84	632	6808
85	637	6774
86	643	6754
87	649	6730
88	654	6699
89	660	6675
90	666	6656
91	671	6625
92	676	6594
93	681	6572
94	687	6546
95	692	6521
96	698	6499
97	703	6472
98	707	6441
99	713	6424
100	718	6395
101	723	6367
102	728	6347
103	734	6324
104	738	6297
105	744	6280
106	749	6258
107	754	6229
108	759	6211
109	764	6186
110	769	6163
111	775	6145
112	780	6124
113	785	6101
114	790	6084
115	795	6060
116	800	6043
117	806	6027
118	811	6009
119	816	5988
120	822	5976
121	827	5955
122	832	5935
123	837	5919
124	842	5898
125	847	5880
126	854	5870
127	858	5850
128	863	5831
129	869	5817
130	874	5798
131	879	5780
132	883	5761
133	888	5744
134	894	5729
135	898	5711
136	903	5690
137	909	5679
138	914	5663
139	918	5644
140	924	5633
141	929	5618
142	934	5600
143	940	5588
144	944	5570
145	949	5554
146	955	5542
147	960	5527
148	964	5510
149	970	5498
150	975	5483
151	980	5471
152	986	5459
153	991	5444
154	996	5432
155	1002	5425
156	1008	5415
157	1013	5402
158	1019	5390
159	1025	5383
160	1030	5368
161	1034	5351
162	1040	5343
163	1045	5330
164	1050	5314
165	1055	5301
166	1060	5287
167	1065	5276
168	1071	5267
169	1075	5249
170	1080	5239
171	1086	5228
172	1091	5216
173	1096	5204
174	1103	5201
175	1107	5186
176	1112	5171
177	1118	5163
178	1123	5151
179	1127	5138
180	1134	5132
181	1141	5130
182	1149	5133
183	1156	5127
184	1162	5119
185	1168	5114
186	1174	5107
187	1182	5108
188	1190	5108
189	1196	5101
190	1202	5095
191	1208	5085
192	1214	5078
193	1225	5093
194	1232	5086
195	1239	5082
196	1246	5081
197	1253	5079
198	1260	5074
199	1267	5070
200	1273	5061
201	1280	5057
202	1286	5052
203	1293	5049
204	1300	5041
205	1305	5031
206	1311	5024
207	1317	5015
208	1323	5009
209	1330	5004
210	1336	4996
211	1341	4987
212	1348	4981
213	1353	4972
214	1358	4961
215	1363	4950
216	1369	4941
217	1374	4929
218	1379	4918
219	1384	4909
220	1389	4898
221	1394	4888
222	1400	4878
223	1404	4867
224	1410	4857
225	1415	4848
226	1421	4840
227	1426	4829
228	1432	4821
229	1437	4811
230	1442	4802
231	1450	4800
232	1456	4796
233	1463	4790
234	1467	4777
235	1472	4767
236	1479	4762
237	1486	4758
238	1491	4749
239	1497	4740
240	1503	4734
241	1516	4751
242	1527	4758
243	1534	4755
244	1549	4775
245	1555	4766
246	1563	4766
247	1570	4762
248	1575	4751
249	1580	4742
250	1585	4732
251	1590	4721
252	1595	4711
253	1600	4699
254	1606	4693
255	1613	4689
256	1619	4681
257	1624	4671
258	1629	4661
259	1634	4652
260	1639	4640
261	1644	4632
262	1650	4624
263	1654	4612
264	1660	4605
265	1665	4596
266	1670	4585
267	1676	4577
268	1681	4568
269	1685	4557
270	1691	4549
271	1696	4539
272	1704	4538
273	1708	4527
274	1715	4523
275	1721	4515
276	1726	4506
277	1731	4497
278	1737	4489
279	1741	4478
280	1746	4469
281	1752	4462
282	1756	4451
283	1762	4443
284	1767	4434
285	1772	4424
286	1777	4416
287	1783	4408
288	1800	4429
289	1812	4436
290	1820	4435
291	1826	4427
292	1835	4429
293	1841	4421
294	1846	4413
295	1851	4403
296	1856	4394
297	1862	4386
298	1867	4377
299	1872	4369
300	1877	4361
301	1882	4350
302	1888	4344
303	1894	4336
304	1899	4328
305	1904	4318
306	1909	4311
307	1914	4302
308	1920	4294
309	1926	4287
310	1931	4278
311	1936	4269
312	1941	4262
313	1946	4252
314	1951	4244
315	1957	4236
316	1962	4227
317	1967	4219
318	1972	4211
319	1977	4202
320	1983	4195
321	1989	4189
322	1995	4182
323	1999	4172
324	2005	4164
325	2010	4156
326	2015	4147
327	2021	4141
328	2027	4134
329	2032	4126
330	2037	4118
331	2043	4111
332	2049	4104
333	2054	4096
334	2059	4089
335	2066	4083
336	2071	4074
337	2076	4066
338	2082	4060
339	2087	4052
340	2092	4044
341	2098	4037
342	2104	4030
343	2108	4021
344	2114	4014
345	2120	4007
346	2125	3999
347	2130	3991
348	2136	3985
349	2141	3977
350	2146	3969
351	2152	3962
352	2158	3955
353	2163	3947
354	2169	3941
355	2174	3934
356	2180	3927
357	2185	3919
358	2191	3912
359	2196	3905
360	2201	3897
361	2207	3891
362	2218	3892
363	2224	3886
364	2230	3879
365	2235	3873
366	2241	3865
367	2247	3859
368	2253	3852
369	2258	3845
370	2264	3839
371	2271	3834
372	2278	3829
373	2284	3824
374	2291	3818
375	2297	3812
376	2303	3806
377	2308	3799
378	2315	3793
379	2320	3785
380	2327	3780
381	2333	3775
382	2339	3768
383	2344	3761
384	2350	3754
385	2356	3748
386	2361	3741
387	2367	3733
388	2372	3726
389	2377	3718
390	2382	3710
391	2387	3703
392	2395	3699
393	2400	3692
394	2406	3685
395	2411	3678
396	2417	3672
397	2422	3664
398	2427	3657
399	2433	3650
400	2438	3642
401	2451	3647
402	2457	3640
403	2462	3632
404	2467	3625
405	2473	3618
406	2477	3609
407	2482	3602
408	2488	3595
409	2492	3586
410	2501	3584
411	2507	3578
412	2513	3572
413	2518	3564
414	2523	3556
415	2528	3549
416	2533	3542
417	2538	3534
418	2544	3528
419	2549	3520
420	2554	3512
421	2559	3506
422	2564	3498
423	2569	3490
424	2575	3483
425	2580	3476
426	2585	3469
427	2590	3462
428	2595	3454
429	2608	3457
430	2613	3449
431	2617	3441
432	2623	3434
433	2628	3427
434	2632	3419
435	2638	3413
436	2643	3405
437	2648	3398
438	2654	3391
439	2659	3385
440	2664	3377
441	2669	3369
442	2674	3362
443	2679	3355
444	2684	3348
445	2689	3341
446	2694	3333
447	2700	3327
448	2705	3319
449	2710	3312
450	2715	3305
451	2720	3298
